PAMS_PIN,CLOSEST_WETLAND_ID,CLOSEST_C1_ID
1901_11_3.01,101479,73901
1901_23_2,69714,73901
1901_11_3,69714,73901
1901_11_2.01,101479,73901
1901_24_50,69594,73901
1901_32_1,70155,57129
1901_3.06_1,118069,60335
1901_33_5,118069,60335
1901_33_1,69994,92224
1901_23_6,69714,96355
1901_24_46.02,69714,96355
1901_24_42,69651,96355
1901_25_3.01,69651,73004
1901_23_6.01,69714,96355
1901_24_31.05,69857,72485
1901_16_4,101479,73006
1901_3.02_1,101479,73006
1901_16.01_1,101479,73006
1901_15_3,101479,73006
1901_15_2,101479,73006
1901_24_48,69714,96355
1901_12_9,20266,73901
1901_18_13.01,101479,73901
1901_5_8,69250,71627
1901_25_4,101507,73004
1901_24_22,101552,72491
1901_25_7,69812,96470
1901_24_31.01,101529,72485
1901_24_31.06,69857,72485
1901_2_5,69037,58946
1901_8_1,20266,73006
1901_12_2.01,20266,73006
1901_12_2.04,20266,73006
1901_9_10,20266,71369
1901_13_3,20266,73006
1901_21_2,101479,73901
1901_19_2,101479,73006
1901_8_3,20266,73006
1901_8_2.04,20266,73006
1901_21_1,101479,73901
1901_27_5,5709,73628
1901_12_2.02,20266,73006
1901_28_5,118064,60703
1901_3.05_1,101552,72491
1901_30_1,118069,60703
1901_5_3,69021,99530
1901_24_33,101529,72485
1901_24_8,69849,72491
1901_24_27,101556,73624
1901_24_51,69594,96355
1901_24_49,69714,96355
1901_23_4,69714,96355
1901_23_5,69714,96355
1901_12_21,69714,96355
1901_6.02_1,69241,71627
1901_6.04_1,2641,71369
1901_10_1,2641,71369
1901_10_2,2641,71369
1901_8_5.02,20266,71369
1901_10_3,117988,71369
1901_8_2.01,20266,71369
1901_8_5.01,20266,71369
1901_2.02_1,69037,58946
1901_5_10,69037,58946
1901_2.01_6,69037,58946
1901_23_18,101552,72491
1901_24_19,69849,72491
1901_13_2.01,20266,73006
1901_12_3,20266,73006
1901_13_5,20266,73006
1901_12_4,20266,73006
1901_24_12,69849,72491
1901_23_21,5709,73628
1901_26_20,69812,73622
1901_24_3,5709,73628
1901_26_24,69812,73622
1901_24_13,69849,72491
1901_26_25,20309,73622
1901_26_15.03,69812,73622
1901_13_7,20266,73006
1901_12_5,20266,73006
1901_9_1.02,117988,71369
1901_13_4,20266,73006
1901_9_8,20266,73006
