SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,COUNTY
PAST SALE,April-2-2020,Single Family Residential,71 WEATHERHILL Rd,Hamburg Boro,NJ,07419-1011,193000.0,2.0,2.5,Hamburg Boro,,,,,,,Sold,,,https://www.redfin.com/NJ/Hamburg/71-Weatherhill-Rd-07419/unit-1801/home/37700372,GSMLS,3615504,N,Y,41.155921,-74.576206,Sussex
PAST SALE,,Single Family Residential,40 Beechmont Ter,Hamburg,NJ,07419,190000.0,,,,1441.0,1089.0,2001.0,,132.0,,,,,https://www.redfin.com/NJ/Hamburg/40-Beechmont-Ter-07419/home/37873492,,,N,Y,41.1402043,-74.6039566,Sussex
PAST SALE,December-18-2020,Single Family Residential,2 LARUE St,Franklin Boro,NJ,07416-1514,190000.0,3.0,1.5,Franklin Boro,,6098.0,1925.0,,,,Sold,,,https://www.redfin.com/NJ/Franklin/2-Larue-St-07416/home/37689217,GSMLS,3605999,N,Y,41.1230334,-74.5836196,Sussex
PAST SALE,November-19-2019,Single Family Residential,8 DELL Rd,Stanhope Boro,NJ,07874-2708,190000.0,4.0,2.5,Stanhope Boro,,12632.0,,,,,Sold,,,https://www.redfin.com/NJ/Stanhope/8-Dell-Rd-07874/home/37785092,GSMLS,3570750,N,Y,40.9124327,-74.7123307,Sussex
PAST SALE,,Condo/Co-op,14 Liberty Ln #210,Franklin,NJ,07416,190000.0,,,,1100.0,,1986.0,,173.0,,,,,https://www.redfin.com/NJ/Franklin/14-Liberty-Ln-07416/unit-210/home/37691952,,,N,Y,41.1200223,-74.5748401,Sussex
PAST SALE,August-8-2022,Single Family Residential,14 Bucknell Trl,Hopatcong Boro,NJ,07843-1760,193000.0,2.0,1.0,Hopatcong Boro,,4356.0,,,,,Sold,,,https://www.redfin.com/NJ/Hopatcong/14-Bucknell-Trl-07843/home/37721393,GSMLS,3778224,N,Y,40.9436026,-74.6615543,Sussex
PAST SALE,September-3-2020,Single Family Residential,696 Audubon Ct #96,Stanhope Boro,NJ,07874-2753,195000.0,2.0,1.5,Stanhope Boro,,,1978.0,,,,Sold,,,https://www.redfin.com/NJ/Stanhope/696-Audubon-Ct-07874/unit-96/home/37784954,GSMLS,3639752,N,Y,40.9180962,-74.7081685,Sussex
PAST SALE,February-28-2023,Single Family Residential,200 Route 94 Unit 246,Vernon Twp.,NJ,07462-3323,195000.0,1.0,1.0,Vernon Twp.,,435.0,,,,,Sold,,,https://www.redfin.com/NJ/Vernon/200-Route-94-07462/unit-246/home/167669491,GSMLS,3830242,N,Y,41.1889754,-74.5061243,Sussex
PAST SALE,May-31-2022,Single Family Residential,49 Village Dr,Hamburg Boro,NJ,07419-1133,190000.0,2.0,1.5,Hamburg Boro,,,1988.0,,,,Sold,,,https://www.redfin.com/NJ/Hamburg/49-Village-Dr-07419/home/179691814,GSMLS,3764616,N,Y,41.151801,-74.5734559,Sussex
PAST SALE,,Single Family Residential,39 Clove Rd,Montague,NJ,07827,190000.0,,,,1188.0,43560.0,1940.0,,160.0,,,,,https://www.redfin.com/NJ/Montague/39-Clove-Rd-07827/home/37732200,,,N,Y,41.3393061,-74.6926668,Sussex
